Date of Lead Publication,Date Imported,Lead Title,Lead URL,Author,Source,Modified Excerpt,Original Excerpt,Operational Environment - Dimension,Operational Environment - Subdimension,Context additional tags - Dimension,Context additional tags - Subdimension,DEMOGRAPHIC GROUPS,AFFECTED GROUPS,SPECIFIC NEEDS GROUPS,Information Date (From),Information Date (To),Colombia Polygons,Country,Country (code),Departments,Departments (code),Municipalities,Municipalities (code),Sectoral Information - Dimension,Sectoral Information - Subdimension,Sectoral Information - Sector,Sectoral Information - Subsectors,DISPLACEMENT PROFILE DETAILS,Reliability,Severity,DISPLACEMENT PROFILE DETAILS
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,https://api.thedeep.io/private-file/452f4550-b9d9-4ce5-99de-3ce06e5e7f6e/a7791533-e9d.jpeg,,,,,,,Migrants,,,,,Colombia,Colombia,,,,,RESPONSE AND CAPACITIES,International ,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,https://api.thedeep.io/private-file/452f4550-b9d9-4ce5-99de-3ce06e5e7f6e/a7791533-e9d.jpeg,,,,,,,Displaced,,,,,Colombia,Colombia,,,,,RESPONSE AND CAPACITIES,International ,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/54ee537a-6164-4bc0-9b04-3c87b65d3a0b/f5fcd70f-278.jpeg,,Displacement ,Displacement,,,,,,,,,,,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Adult Male (25 to 59 years old),Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Adult Female (25 to 59 years old),Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Youth Male (18 to 24 years old),Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Youth Female (18 to 24 years old),Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Adult Male (25 to 59 years old),Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Adult Female (25 to 59 years old),Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Youth Male (18 to 24 years old),Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Youth Female (18 to 24 years old),Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Adult Male (25 to 59 years old),Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Adult Female (25 to 59 years old),Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Youth Male (18 to 24 years old),Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/a8abb321-38a6-4476-81c9-4dc94eb88270/f9ad8c38-b60.jpeg,,Displacement ,Displacement,,,Youth Female (18 to 24 years old),Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/251f983c-4ef1-4992-8729-bf5e8c54fec8/59e94950-1e6.jpeg,,Context,Legal or normative framework,,,,Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/251f983c-4ef1-4992-8729-bf5e8c54fec8/59e94950-1e6.jpeg,,Displacement ,Displacement,,,,Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/251f983c-4ef1-4992-8729-bf5e8c54fec8/59e94950-1e6.jpeg,,Context,Legal or normative framework,,,,Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/251f983c-4ef1-4992-8729-bf5e8c54fec8/59e94950-1e6.jpeg,,Displacement ,Displacement,,,,Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/251f983c-4ef1-4992-8729-bf5e8c54fec8/59e94950-1e6.jpeg,,Context,Legal or normative framework,,,,Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/251f983c-4ef1-4992-8729-bf5e8c54fec8/59e94950-1e6.jpeg,,Displacement ,Displacement,,,,Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/3d03ed1e-ac26-4431-940f-eed8045a3ef4/ab41337a-279.jpeg,,Context,Legal or normative framework,,,,Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/3d03ed1e-ac26-4431-940f-eed8045a3ef4/ab41337a-279.jpeg,,Displacement ,Displacement,,,,Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/3d03ed1e-ac26-4431-940f-eed8045a3ef4/ab41337a-279.jpeg,,Context,Legal or normative framework,,,,Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/3d03ed1e-ac26-4431-940f-eed8045a3ef4/ab41337a-279.jpeg,,Displacement ,Displacement,,,,Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/3d03ed1e-ac26-4431-940f-eed8045a3ef4/ab41337a-279.jpeg,,Context,Legal or normative framework,,,,Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/3d03ed1e-ac26-4431-940f-eed8045a3ef4/ab41337a-279.jpeg,,Displacement ,Displacement,,,,Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/aff8ca8a-52eb-4d91-a103-223d180c79db/8fc313c7-fce.jpeg,,Context,Legal or normative framework,,,,Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/aff8ca8a-52eb-4d91-a103-223d180c79db/8fc313c7-fce.jpeg,,Displacement ,Displacement,,,,Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/aff8ca8a-52eb-4d91-a103-223d180c79db/8fc313c7-fce.jpeg,,Context,Legal or normative framework,,,,Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/aff8ca8a-52eb-4d91-a103-223d180c79db/8fc313c7-fce.jpeg,,Displacement ,Displacement,,,,Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/aff8ca8a-52eb-4d91-a103-223d180c79db/8fc313c7-fce.jpeg,,Context,Legal or normative framework,,,,Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/aff8ca8a-52eb-4d91-a103-223d180c79db/8fc313c7-fce.jpeg,,Displacement ,Displacement,,,,Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/40a6dc59-9d9b-4d44-93c1-2886710879fa/ba147c87-962.jpeg,,Context,Demographics,,,,Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/40a6dc59-9d9b-4d44-93c1-2886710879fa/ba147c87-962.jpeg,,Displacement ,Displacement,,,,Migrants,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/40a6dc59-9d9b-4d44-93c1-2886710879fa/ba147c87-962.jpeg,,Context,Demographics,,,,Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/40a6dc59-9d9b-4d44-93c1-2886710879fa/ba147c87-962.jpeg,,Displacement ,Displacement,,,,Refugees,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/40a6dc59-9d9b-4d44-93c1-2886710879fa/ba147c87-962.jpeg,,Context,Demographics,,,,Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/40a6dc59-9d9b-4d44-93c1-2886710879fa/ba147c87-962.jpeg,,Displacement ,Displacement,,,,Affected,,11-12-2019,,,Colombia,Colombia,,,,,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/6a623b9f-e57e-47dd-ab34-d582e5ec8707/ac7ebcaf-cca.jpeg,,Displacement ,Displacement,,,,Migrants,,11-12-2019,,,Colombia,Colombia,Vichada,Vichada,Puerto Carreño,Puerto Carreño,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/6a623b9f-e57e-47dd-ab34-d582e5ec8707/ac7ebcaf-cca.jpeg,,Displacement ,Displacement,,,,Refugees,,11-12-2019,,,Colombia,Colombia,Vichada,Vichada,Puerto Carreño,Puerto Carreño,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/6a623b9f-e57e-47dd-ab34-d582e5ec8707/ac7ebcaf-cca.jpeg,,Displacement ,Displacement,,,,Affected,,11-12-2019,,,Colombia,Colombia,Vichada,Vichada,Puerto Carreño,Puerto Carreño,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/6a623b9f-e57e-47dd-ab34-d582e5ec8707/ac7ebcaf-cca.jpeg,,Displacement ,Displacement,,,,Migrants,,11-12-2019,,,Colombia,Colombia,Santander,Santander,San Miguel,San Miguel,,,,,,Usually Reliable,,
12-12-2019,28-12-2019,GIFMM Colombia: Refugiados y Migrantes Venezolanos,https://data2.unhcr.org/es/documents/download/72896,R4V,UNHCR,https://api.thedeep.io/private-file/6a623b9f-e57e-47dd-ab34-d582e5ec8707/ac7ebcaf-cca.jpeg,,Displacement ,Displacement,,,,Refugees,,11-12-2019,,,Colombia,Colombia,Santander,Santander,San Miguel,San Miguel,,,,,,Usually Reliable,,
